"Position";"Date_short";"value";"RDate";"System";"SampleType";"FlowDirection"
"VS1p_OUT";"2017/04/01";546.387777777778;2017-04-01;"VS1p";"Out";"VF"
"VS1p_OUT";"2017/05/01";475.318518518518;2017-05-01;"VS1p";"Out";"VF"
"VS1p_OUT";"2017/06/01";303.505238095238;2017-06-01;"VS1p";"Out";"VF"
"VS1p_OUT";"2017/07/01";393.1524;2017-07-01;"VS1p";"Out";"VF"
"VS1p_OUT";"2017/08/01";404.5052;2017-08-01;"VS1p";"Out";"VF"
"W.A._IN";"2017/01/01";83.2615384615385;2017-01-01;"WA";"In";"VF"
"W.A._IN";"2017/02/01";86.4375;2017-02-01;"WA";"In";"VF"
"W.A._IN";"2017/03/01";90.1851851851852;2017-03-01;"WA";"In";"VF"
"W.A._IN";"2017/04/01";90.1888888888889;2017-04-01;"WA";"In";"VF"
"W.A._IN";"2017/05/01";90.1925925925926;2017-05-01;"WA";"In";"VF"
"W.A._IN";"2017/06/01";90.1894736842105;2017-06-01;"WA";"In";"VF"
"W.A._IN";"2017/07/01";90.18;2017-07-01;"WA";"In";"VF"
"W.A._IN";"2017/08/01";90.196;2017-08-01;"WA";"In";"VF"
"W.A._OUT";"2017/01/01";67.6326923076923;2017-01-01;"WA";"Out";"VF"
"W.A._OUT";"2017/02/01";132.655;2017-02-01;"WA";"Out";"VF"
"W.A._OUT";"2017/03/01";130.941111111111;2017-03-01;"WA";"Out";"VF"
"W.A._OUT";"2017/04/01";125.685185185185;2017-04-01;"WA";"Out";"VF"
"W.A._OUT";"2017/05/01";93.2355555555555;2017-05-01;"WA";"Out";"VF"
"W.A._OUT";"2017/06/01";37.9692307692308;2017-06-01;"WA";"Out";"VF"
"W.A._OUT";"2017/07/01";34.2777777777778;2017-07-01;"WA";"Out";"VF"
"W.A._OUT";"2017/08/01";8.22666666666667;2017-08-01;"WA";"Out";"VF"
"W.B._IN";"2017/01/01";76.8333333333333;2017-01-01;"WB";"In";"VF"
"W.B._IN";"2017/02/01";89.2083333333333;2017-02-01;"WB";"In";"VF"
"W.B._IN";"2017/03/01";88.6814814814815;2017-03-01;"WB";"In";"VF"
"W.B._IN";"2017/04/01";90.3481481481482;2017-04-01;"WB";"In";"VF"
"W.B._IN";"2017/05/01";90.3296296296296;2017-05-01;"WB";"In";"VF"
"W.B._IN";"2017/06/01";87.9789473684211;2017-06-01;"WB";"In";"VF"
"W.B._IN";"2017/07/01";90.348;2017-07-01;"WB";"In";"VF"
"W.B._IN";"2017/08/01";90.328;2017-08-01;"WB";"In";"VF"
"W.B._OUT";"2017/01/01";69.2938461538462;2017-01-01;"WB";"Out";"VF"
"W.B._OUT";"2017/02/01";130.598333333333;2017-02-01;"WB";"Out";"VF"
"W.B._OUT";"2017/03/01";118.372592592593;2017-03-01;"WB";"Out";"VF"
"W.B._OUT";"2017/04/01";118.144074074074;2017-04-01;"WB";"Out";"VF"
"W.B._OUT";"2017/05/01";84.7803703703704;2017-05-01;"WB";"Out";"VF"
"W.B._OUT";"2017/06/01";30.85;2017-06-01;"WB";"Out";"VF"
"W.B._OUT";"2017/07/01";27.148;2017-07-01;"WB";"Out";"VF"
"W.B._OUT";"2017/08/01";12.34;2017-08-01;"WB";"Out";"VF"
