"DateTime";"SystemType";"FlowDirection";"System";"SampleType";"SamplePoint";"dist_axial";"Parameter";"value"
"201";2017-01-24 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-70";0.7;"T_lab";7.2
"202";2017-07-25 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-70";0.7;"T_lab";20
"203";2017-06-27 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-70";0.7;"T_lab";20.6
"204";2017-05-30 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-70";0.7;"T_lab";22.6
"205";2017-05-02 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-85";0.85;"T_lab";10.9
"206";2017-04-04 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-85";0.85;"T_lab";11.2
"207";2017-02-07 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-85";0.85;"T_lab";7.2
"208";2017-03-07 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-85";0.85;"T_lab";12.6
"209";2017-08-08 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-85";0.85;"T_lab";21.7
"210";2017-01-10 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-85";0.85;"T_lab";5.9
"211";2017-06-14 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-85";0.85;"T_lab";19.6
"212";2017-05-16 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-85";0.85;"T_lab";16.5
"213";2017-02-21 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-85";0.85;"T_lab";11.6
"214";2017-08-22 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-85";0.85;"T_lab";19.1
"215";2017-01-24 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-85";0.85;"T_lab";5.9
"216";2017-07-25 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-85";0.85;"T_lab";19.8
"217";2017-06-27 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-85";0.85;"T_lab";20
"218";2017-05-30 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-85";0.85;"T_lab";23.6
"219";2017-03-01 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";13.6
"220";2017-08-01 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";20.5
"221";2017-05-02 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";10.9
"222";2017-01-03 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";6.7
"223";2017-04-04 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";11.4
"224";2017-07-04 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";18.9
"225";2017-02-07 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";9.2
"226";2017-03-07 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";10.5
"227";2017-08-08 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";20.9
"228";2017-05-09 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";10.9
"229";2017-01-10 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";8
"230";2017-02-14 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";7.3
"231";2017-03-14 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";10.1
"232";2017-06-14 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";18.5
"233";2017-08-15 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";20.2
"234";2017-05-16 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";15.5
"235";2017-01-17 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";9.6
"236";2017-07-18 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";19.4
"237";2017-06-20 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";20.3
"238";2017-02-21 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";9.2
"239";2017-05-22 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";17.4
"240";2017-08-22 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";18.8
"241";2017-01-24 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";6.8
"242";2017-04-25 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";11
"243";2017-07-25 10:00:00;"Intensified";"HF";"HMc";"Out";"HMc-OUT";1;"T_lab";19.4
