"Date";"Parameter";"value"
2016-10-01;"wind_direction";176.766129032258
2016-11-01;"wind_direction";181.055237268519
2016-12-01;"wind_direction";210.226254480287
2017-01-01;"wind_direction";198.892585125448
2017-02-01;"wind_direction";154.61755952381
2017-03-01;"wind_direction";196.762768817204
2017-04-01;"wind_direction";221.750462962963
2017-05-01;"wind_direction";174.862903225806
2017-06-01;"wind_direction";210.291435185185
2017-07-01;"wind_direction";204.811803066507
2017-08-01;"wind_direction";200.543682795699
2010-07-01;"radiation";282.771240726848
2010-08-01;"radiation";172.631381725788
2010-09-01;"radiation";142.675
2010-10-01;"radiation";96.7999103942652
2010-11-01;"radiation";32.5499764191762
2010-12-01;"radiation";29.5905913978495
2011-01-01;"radiation";31.9434053992221
2011-02-01;"radiation";44.5398663720539
2011-03-01;"radiation";145.019265232975
2011-04-01;"radiation";198.73349537037
2011-05-01;"radiation";275.537208781362
2011-06-01;"radiation";267.106319444444
2011-07-01;"radiation";193.536290322581
2011-08-01;"radiation";183.33335677556
2011-09-01;"radiation";155.059143518519
2011-10-01;"radiation";94.7637992831541
2011-11-01;"radiation";52.7045116226366
2011-12-01;"radiation";21.6316564260113
2012-01-01;"radiation";28.8439292114695
2012-02-01;"radiation";61.4342521087159
2012-03-01;"radiation";93.4387858606557
2012-04-01;"radiation";166.668920361248
2012-05-01;"radiation";246.975891577061
2012-06-01;"radiation";206.338356481481
2012-07-01;"radiation";196.638248836672
2012-08-01;"radiation";202.264480920858
2012-09-01;"radiation";141.453149801587
2012-10-01;"radiation";80.2812948028674
2012-11-01;"radiation";34.6165189691904
2012-12-01;"radiation";27.5720489635812
2013-01-01;"radiation";26.6182347670251
2013-02-01;"radiation";45.6237747350059
2013-03-01;"radiation";106.398429232804
2013-04-01;"radiation";149.738796296296
2013-05-01;"radiation";179.499815188172
2013-06-01;"radiation";229.024033251232
2013-07-01;"radiation";258.353382616487
2013-08-01;"radiation";199.001411290323
2013-09-01;"radiation";115.579583333333
2013-10-01;"radiation";78.2100978770334
2013-11-01;"radiation";32.2099531508882
2013-12-01;"radiation";25.1781364498062
2014-01-01;"radiation";28.8115815412186
2014-02-01;"radiation";71.3798115079365
2014-03-01;"radiation";116.675739247312
2014-04-01;"radiation";180.076689814815
2014-05-01;"radiation";202.117495519713
2014-06-01;"radiation";240.20900462963
2014-07-01;"radiation";222.879136358845
2014-08-01;"radiation";177.619092568385
2014-09-01;"radiation";112.651248015873
2014-10-01;"radiation";80.7320660580671
2014-11-01;"radiation";38.5906660798122
2014-12-01;"radiation";19.2382645706717
2015-01-01;"radiation";27.0630081534822
2015-02-01;"radiation";73.8374215733591
2015-03-01;"radiation";104.793983070854
2015-04-01;"radiation";186.115671296296
2015-05-01;"radiation";230.841913082437
2015-06-01;"radiation";223.419444444444
2015-07-01;"radiation";245.549372759857
2015-08-01;"radiation";213.783372207037
2015-09-01;"radiation";136.922367724868
2015-10-01;"radiation";74.2651657706093
2015-11-01;"radiation";38.9850462962963
2015-12-01;"radiation";29.8097230006849
2016-01-01;"radiation";32.7121863799283
2016-02-01;"radiation";57.2681513409962
2016-03-01;"radiation";92.4477822580645
2016-04-01;"radiation";174.141116898148
2016-05-01;"radiation";234.201344086021
2016-06-01;"radiation";253.678870349572
2016-07-01;"radiation";215.620228494624
2016-08-01;"radiation";205.730376344086
2016-09-01;"radiation";156.416527777778
2016-10-01;"radiation";52.2656810035842
2016-11-01;"radiation";39.3243287037037
2016-12-01;"radiation";31.0698700716846
2017-01-01;"radiation";40.7569836469534
2017-02-01;"radiation";56.3430555555556
2017-03-01;"radiation";115.597849462366
2017-04-01;"radiation";155.155347222222
2017-05-01;"radiation";227.954166666667
2017-06-01;"radiation";250.926157407407
2017-07-01;"radiation";210.302652495686
2017-08-01;"radiation";202.242181899642
2010-07-01;"pressure_air";1006.84330978578
2010-08-01;"pressure_air";1001.9512986442
2010-09-01;"pressure_air";1004.45840277778
2010-10-01;"pressure_air";1004.2226702509
2010-11-01;"pressure_air";994.085002812392
2010-12-01;"pressure_air";998.953853046595
